Sample	accession	assembly	
cold-seep-EGM 1	SRR7716469	cold-seep-EGM	
cold-seep-EGM 2	SRR7716470	cold-seep-EGM	
cold-seep-EGM 3	SRR7716471	cold-seep-EGM	
cold-seep-ENP 1	SRR5716301	cold-seep-ENP	
cold-seep-ENP 2	SRR5716302	cold-seep-ENP	
cold-seep-ENP 3	SRR5716303	cold-seep-ENP	
cold-seep-ENP 4	SRR5716304	cold-seep-ENP	
cold-seep-ENP 5	SRR5716305	cold-seep-ENP	
cold-seep-ENP 6	SRR5716306	cold-seep-ENP	
cold-seep-ENP 7	SRR5716307	cold-seep-ENP	
cold-seep-ENP 8	SRR5716308	cold-seep-ENP	
cold-seep-ENP 9	SRR5716309	cold-seep-ENP	
cold-seep-ENP 10	SRR5716310	cold-seep-ENP	
cold-seep-ENP 11	SRR5716311	cold-seep-ENP	
cold-seep-ENP 12	SRR5716312	cold-seep-ENP	
cold-seep-ENP 13	SRR5716313	cold-seep-ENP	
cold-seep-ENP 14	SRR5716314	cold-seep-ENP	
cold-seep-HM 1	SRR1971625	cold-seep-HM	
cold-seep-HM 2	SRR1971624	cold-seep-HM	
cold-seep-MS 1	SRR6660645	cold-seep-MS	
cold-seep-SMM-1 1	SRR6660646	cold-seep-SMM-1	
cold-seep-SB 1	SRR12623516	cold-seep-SB	
cold-seep-SB 2	SRR12623517	cold-seep-SB	
cold-seep-SB 3	SRR12623518	cold-seep-SB	
cold-seep-SB 4	SRR12623519	cold-seep-SB	
cold-seep-SB 5	SRR12623520	cold-seep-SB	
cold-seep-SB 6	SRR12623521	cold-seep-SB	
cold-seep-SB 7	SRR12623522	cold-seep-SB	
cold-seep-WGM 1	ERR3341264	cold-seep-WGM	
cold-seep-WGM 2	ERR3341265	cold-seep-WGM	
cold-seep-WGM 3	ERR3341266	cold-seep-WGM	
cold-seep-WGM 4	ERR3341267	cold-seep-WGM	
cold-seep-WGM 5	ERR3341270	cold-seep-WGM	
cold-seep-WGM 6	ERR3365594	cold-seep-WGM	
cold-seep-WGM 7	ERR3365595	cold-seep-WGM	
cold-seep-SMM-2 1	SRR3715698	cold-seep-SMM-2	
cold-seep-SMM-2 2	SRR3715733	cold-seep-SMM-2	
hydrothermal-vent-GB-1 1	SRR6301444	hydrothermal-vent-GB-1	
hydrothermal-vent-GB-1 2	SRR6301445	hydrothermal-vent-GB-1	
hydrothermal-vent-GB-1 3	SRR6301447	hydrothermal-vent-GB-1	
hydrothermal-vent-GB-1 4	SRR6301446	hydrothermal-vent-GB-1	
hydrothermal-vent-BMS 1	DRR093002	hydrothermal-vent-BMS	
hydrothermal-vent-BMS 2	DRR093003	hydrothermal-vent-BMS	
hydrothermal-vent-BMS 3	DRR093004	hydrothermal-vent-BMS	
hydrothermal-vent-BMS 4	DRR093005	hydrothermal-vent-BMS	
hydrothermal-vent-ELSC 1	SRR13622958	hydrothermal-vent-ELSC	
hydrothermal-vent-ELSC 2	SRR13622960	hydrothermal-vent-ELSC	
hydrothermal-vent-ELSC 3	SRR13622961	hydrothermal-vent-ELSC	
hydrothermal-vent-GB-2 1	SRR7968109	hydrothermal-vent-GB-2	
hydrothermal-vent-TVG 1	SRR7207567	hydrothermal-vent-TVG	
hydrothermal-vent-TVG 2	SRR5560801	hydrothermal-vent-TVG	
hydrothermal-vent-SIR 1	SRR3136141	hydrothermal-vent-SIR	
hydrothermal-vent-SIR 2	SRR3136142	hydrothermal-vent-SIR	
hydrothermal-vent-SIR 3	SRR3136143	hydrothermal-vent-SIR	
hydrothermal-vent-SMT 1	DRR093002	hydrothermal-vent-SMT	
hydrothermal-vent-SMT 2	DRR093003	hydrothermal-vent-SMT	
hydrothermal-vent-SMT 3	DRR093004	hydrothermal-vent-SMT	
